step_id,need_type,turn,role,text,intent,codes,cluster,run,conversation_id
1,task,1,agent,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
1,task,1,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
1,task,2,agent,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
1,task,2,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
1,task,3,agent,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
1,task,3,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
1,task,4,agent,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
1,task,4,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
1,task,5,agent,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
1,task,5,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
1,task,6,agent,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
1,task,6,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
1,task,7,agent,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
1,task,7,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
1,task,8,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
2,science,1,agent,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
2,science,1,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
2,science,2,agent,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
2,science,2,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
2,science,3,agent,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
2,science,3,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
2,science,4,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
3,history,1,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
4,task,1,agent,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
4,task,1,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
4,task,2,agent,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
4,task,2,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
4,task,3,agent,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
4,task,3,user,,NA,,C1_Hyperpolite,1,C1_Hyperpolite__run01
