"conversation_id","condition","recipe_id","recipe_title","participant_gender","participant_age","keep_conversation","comments","conversation"
"bKBDfgUAa3","passive","2331","The Best Buttermilk-Brined Southern Fried Chicken Recipe","male","35-44",TRUE,"","-NBILq62NBZyYiVXUw0D, -NBIMrw2XCEN3v9PbqkA, -NBIMw9yemEEqNbtbHDk, -NBIN8cP82KlE2rmnQ9E, -NBINJ1oacznsqu57MNc, -NBIN_FiXqelCqs0E7kb, -NBINoKVtDMYsA2W8UFN, -NBIO5D6XudyCUNy-JA1, -NBIOC84Q6fo85tzcfjY, -NBIOELlwxPln6_4WwL3, -NBIOER84jiSXvkytkao, -NBIOJ_7uEbUtT3PmA8J, -NBIOKwbDCEiqTbhtE55, -NBIOL0ViN_7b6ZL9kLS, -NBIOXITBUzMmEUSM4Dl, -NBIOYih2j52vThkWGve, -NBIOYnXsnN4WMfJmh6l, -NBIOkMYTlhdO1Krl7kb, -NBIOpXXTT7GqjXgQp79, -NBIP3nX8lL0yLAS5wpA, -NBIPLfoo405ooWLKHA4, -NBIPTIDeXeseoN95WJk, -NBIPTUFLin7-8OywIkj, -NBIPTa3209VTJXKEVEr, -NBIPezOiSaiSuD9WtF2, -NBIPjaxf4T7ceeaCP_a, -NBIPjfxxCgh3ilR2NpR, -NBIPv9xSLvuAcZTrLIl, -NBIPwY0XCZQDm3xAcgf, -NBIPwc-BUvJvnlCecww, -NBIQ-IdCKZJk5-tfANm, -NBIQ0EVxfW_ya9LV4U-, -NBIQ0T8zsFFllzNhS0A, -NBIQ5KqK-XK3Wr4DL2J, -NBIQFH5nvbeImMz6DBF, -NBIQGr8h6SnP71b5Jn4, -NBIQLElfT_ux1b4Mxwg"
"bKBDfgUAa3","passive","2331","The Best Buttermilk-Brined Southern Fried Chicken Recipe","male","35-44",TRUE,"","text, text, text, text, text, text, text, text, text, action, status, text, action, status, text, action, status, text, text, text, text, text, action, status, text, action, status, text, action, status, text, action, status, text, text, text, text"
"bKBDfgUAa3","passive","2331","The Best Buttermilk-Brined Southern Fried Chicken Recipe","male","35-44",TRUE,"",", , , preparation, , knowledge, , , , , , , , , , , , preparation, , , , , , , , , , , , , , , , , , , "
"bKBDfgUAa3","passive","2331","The Best Buttermilk-Brined Southern Fried Chicken Recipe","male","35-44",TRUE,"",", , , , , history, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , "
"bKBDfgUAa3","passive","2331","The Best Buttermilk-Brined Southern Fried Chicken Recipe","male","35-44",TRUE,"",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , "
"bKBDfgUAa3","passive","2331","The Best Buttermilk-Brined Southern Fried Chicken Recipe","male","35-44",TRUE,"","other, other, other, question, answer, question, answer, answer, other, other, other, other, other, other, other, other, other, question, answer, answer, other, other, other, other, other, other, other, other, other, other, other, other, other, other, other, other, other"
"bKBDfgUAa3","passive","2331","The Best Buttermilk-Brined Southern Fried Chicken Recipe","male","35-44",TRUE,"","-NBIN8cP82KlE2rmnQ9E, -NBIN_FiXqelCqs0E7kb, -NBIN_FiXqelCqs0E7kb, -NBIOkMYTlhdO1Krl7kb, -NBIOkMYTlhdO1Krl7kb, -NBIOkMYTlhdO1Krl7kb, -NBIQ5KqK-XK3Wr4DL2J, -NBIQFH5nvbeImMz6DBF, -NBIQGr8h6SnP71b5Jn4"
"bKBDfgUAa3","passive","2331","The Best Buttermilk-Brined Southern Fried Chicken Recipe","male","35-44",TRUE,"","TRUE, TRUE, TRUE, TRUE, TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE, TRUE, FALSE, FALSE, TRUE, FALSE, FALSE, TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE, TRUE, FALSE, FALSE, TRUE, FALSE, FALSE, TRUE, FALSE, FALSE, TRUE, TRUE, TRUE, TRUE"
"bKBDfgUAa3","passive","2331","The Best Buttermilk-Brined Southern Fried Chicken Recipe","male","35-44",TRUE,"","TRUE, TRUE, TRUE, TRUE, TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, TRUE, TRUE, FALSE, TRUE, TRUE, FALSE, TRUE, TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, TRUE, TRUE, FALSE, TRUE, TRUE, FALSE, TRUE, TRUE, FALSE, TRUE, TRUE, TRUE, TRUE, TRUE"
"bKBDfgUAa3","passive","2331","The Best Buttermilk-Brined Southern Fried Chicken Recipe","male","35-44",TRUE,"","user, agent, user, user, agent, user, agent, agent, user, agent, user, user, agent, user, user, agent, user, user, agent, agent, user, agent, agent, user, user, agent, user, user, agent, user, user, agent, user, user, agent, user, agent"
